NO.,시설구분,단말번호,관측소코드,위도,경도,고도,주소,설치층수,건물전체층수,제조사,연결상태,축보정,설치시점,수신시간,등록순번,시설구분세부,H3 Cell,Same_H3_Count,H3_Category,센서 품질,Sensor_Replacement_Status,통신품질기준,Communication_Quality_Status,Image_Link_1,Image_Link_2
1,SKM,01223132184,SIH0A,37.3456,126.749,7.71,경기 시흥시 정왕시장길 52,1,3,엔티모아,disc.,45,20년5월,0,3018,대리점,-,,,,,-,,,
2,FSM,01227500108,HOCB8,37.6115,127.7704,161.56,강원 홍천군 남면 시동로 46,2,3,우리넷,disc.,45,21년8월,2024.05.06 12:15:34,6747,소방청,-,,,,,-,,,
3,SKM,01227500358,PKJ07,35.2426,129.215,16.61,부산 기장군 기장읍 차성남로51번길 15,1,1,우리넷,disc.,45,20년5월,2024.05.13 11:45:32,2906,대리점,-,,,,,-,,,
4,SKM,01227500385,PKJ08,35.2452,129.2155,11.85,부산 기장군 기장읍 읍내로 101-1,1,1,우리넷,disc.,45,20년5월,0,2953,대리점,-,,,,,-,,,
5,KSM,01227500405,EURBX,35.3227,128.2883,13,경남 의령군 의령읍 의합대로 44-54,0,0,우리넷,normal,0,24년6월,2024.09.30 08:57:58,7800,기상청관측소,8530c027fffffff,13,양호,10,교체불필요,-,,,
6,SKM,01227500429,DDK0A,35.8626,128.4598,46.98,대구 달성군 다사읍 달구벌대로 805-1,5,3,우리넷,normal,0,20년1월,2024.09.30 08:57:58,878,SKT1,8530c567fffffff,17,양호,,,-,,,
7,FSM,01227500496,TAB0M,37.104,129.0406,616.94,강원 태백시 동태백로 289-48,2,2,우리넷,normal,0,21년8월,2024.09.30 08:57:58,7246,소방청,8530e853fffffff,16,양호,9,교체불필요,-,,,
8,SKM,01227500595,CHS01,36.1666,128.9801,1050.29,경북 청송군 현서면 무계리 산 21-14,1,1,우리넷,normal,0,20년1월,2024.09.30 08:57:58,312,SKT1,8530ea57fffffff,1,부족,10,교체불필요,-,,,
9,FSM,01227500636,YON12,37.245,127.1059,66.64,경기 용인시 기흥구 한보라1로 128,1,2,우리넷,normal,45,21년8월,2024.09.30 08:57:58,6317,소방청,8530e15bfffffff,19,양호,10,교체불필요,-,,,
10,FSM,01227500699,KYU1M,35.8441,129.2284,53.9,경북 경주시 알천남로 276,2,2,우리넷,normal,45,21년8월,2024.09.30 08:57:58,7048,소방청,8530c1b7fffffff,13,양호,10,교체불필요,-,,,
11,SKM,01227500700,YOC01,35.9,128.8676,92.64,경북 영천시 금호읍 남성리 399,1,1,우리넷,normal,0,20년1월,2024.09.30 08:57:58,246,SKT1,8530ea4bfffffff,13,양호,9,교체불필요,-,,,
12,SKM,01227500747,PDR0K,35.2054,129.0795,11.81,부산 동래구 명륜로129번다길 3,1,2,우리넷,disc.,0,20년5월,2022.01.04 08:46:12,3124,대리점,-,,,,,-,,,
13,SKM,01227500783,DDH0N,35.877,128.6292,44.75,대구 동구 동부로 154,1,4,우리넷,disc.,45,20년5월,2020.06.13 14:23:13,2837,대리점,-,,,,,-,,,
14,CPM,01227500814,YAYBX,37.9445,128.7861,6.78,강원 양양군 현남면 매바위길 125-1,1,1,엔티모아,normal,0,21년8월,2024.09.30 08:57:58,5177,해양경찰청,8530ec2bfffffff,7,양호,10,교체불필요,-,,https://www.dropbox.com/scl/fi/qxv6bsvew6y8fonvse3k3/01227500814_2.jpg?rlkey=4ofjnxun5pwyrghsyo4iikdqo&dl=0,https://www.dropbox.com/scl/fi/iqb8yeiln0z5pnx3flku1/01227500814_1.jpg?rlkey=izjmd6bjxmxt1l0nw7hxw3c7k&dl=0
15,POM,01227500912,SUS0E,36.7533,126.426,20,충남 서산시 인지면 무학로 1683,1,2,우리넷,normal,0,21년8월,2024.09.30 08:57:59,4610,우정사업본부,8530e2a3fffffff,3,부족,,,2,통품 불안정,https://www.dropbox.com/scl/fi/d9j9g6tzjvwsyb6o6u4cv/01227500912_1.jpg?rlkey=wu9jb8qzc41l7ob180etq3f0j&dl=0,https://www.dropbox.com/scl/fi/dtg4htepxep39e57q8s5z/01227500912_2.jpg?rlkey=vo6o9yad709uu63go7vwwlii2&dl=0
16,FSM,01227501095,WAD0L,34.4332,127.0625,8.55,전남 완도군 금당면 금당해변로941번길 39,1,1,엔티모아,normal,0,21년8월,2024.09.30 08:57:58,6813,소방청,8530c21bfffffff,5,부족,10,교체불필요,-,,,
